dropout_rate,seed,largest_component
0.1,0,15867
0.1,1,15867
0.1,2,15861
0.1,3,15862
0.1,4,15866
0.1,5,15861
0.1,6,15861
0.1,7,15864
0.1,8,15853
0.1,9,15869
0.1,10,15859
0.1,11,15865
0.1,12,15862
0.1,13,15856
0.1,14,15867
0.1,15,15871
0.1,16,15866
0.1,17,15869
0.1,18,15861
0.1,19,15867
0.1,20,15866
0.1,21,15860
0.1,22,15861
0.1,23,15873
0.1,24,15866
0.1,25,15869
0.1,26,15867
0.1,27,15857
0.1,28,15859
0.1,29,15861
0.1,30,15857
0.1,31,15863
0.1,32,15864
0.1,33,15865
0.1,34,15863
0.1,35,15869
0.1,36,15855
0.1,37,15870
0.1,38,15867
0.1,39,15862
0.1,40,15869
0.1,41,15864
0.1,42,15866
0.1,43,15860
0.1,44,15866
0.1,45,15864
0.1,46,15858
0.1,47,15869
0.1,48,15868
0.1,49,15861
0.2,0,15818
0.2,1,15812
0.2,2,15823
0.2,3,15788
0.2,4,15813
0.2,5,15818
0.2,6,15818
0.2,7,15806
0.2,8,15807
0.2,9,15813
0.2,10,15806
0.2,11,15820
0.2,12,15811
0.2,13,15793
0.2,14,15803
0.2,15,15798
0.2,16,15811
0.2,17,15816
0.2,18,15816
0.2,19,15808
0.2,20,15816
0.2,21,15803
0.2,22,15807
0.2,23,15812
0.2,24,15816
0.2,25,15827
0.2,26,15823
0.2,27,15788
0.2,28,15816
0.2,29,15791
0.2,30,15793
0.2,31,15809
0.2,32,15792
0.2,33,15802
0.2,34,15823
0.2,35,15823
0.2,36,15797
0.2,37,15806
0.2,38,15816
0.2,39,15814
0.2,40,15821
0.2,41,15807
0.2,42,15804
0.2,43,15813
0.2,44,15816
0.2,45,15820
0.2,46,15803
0.2,47,15824
0.2,48,15821
0.2,49,15815
0.3,0,15716
0.3,1,15728
0.3,2,15725
0.3,3,15677
0.3,4,15721
0.3,5,15730
0.3,6,15740
0.3,7,15734
0.3,8,15709
0.3,9,15731
0.3,10,15703
0.3,11,15714
0.3,12,15723
0.3,13,15671
0.3,14,15718
0.3,15,15706
0.3,16,15694
0.3,17,15707
0.3,18,15733
0.3,19,15703
0.3,20,15703
0.3,21,15712
0.3,22,15688
0.3,23,15739
0.3,24,15729
0.3,25,15754
0.3,26,15731
0.3,27,15702
0.3,28,15712
0.3,29,15703
0.3,30,15691
0.3,31,15701
0.3,32,15692
0.3,33,15707
0.3,34,15715
0.3,35,15727
0.3,36,15701
0.3,37,15712
0.3,38,15721
0.3,39,15708
0.3,40,15729
0.3,41,15721
0.3,42,15705
0.3,43,15692
0.3,44,15722
0.3,45,15714
0.3,46,15724
0.3,47,15737
0.3,48,15725
0.3,49,15719
0.4,0,15564
0.4,1,15598
0.4,2,15583
0.4,3,15562
0.4,4,15567
0.4,5,15572
0.4,6,15599
0.4,7,15609
0.4,8,15567
0.4,9,15597
0.4,10,15547
0.4,11,15578
0.4,12,15561
0.4,13,15537
0.4,14,15591
0.4,15,15561
0.4,16,15546
0.4,17,15558
0.4,18,15597
0.4,19,15554
0.4,20,15588
0.4,21,15586
0.4,22,15572
0.4,23,15597
0.4,24,15597
0.4,25,15605
0.4,26,15575
0.4,27,15556
0.4,28,15576
0.4,29,15545
